"ALDEIA,C,100","SUCO,C,80","P_ADMIN,C,50","NewAldCode,C,254","NewSucoCod,C,254","NewPostAdC,C,254","NewMunCode,C,254"
Alala,Uailili,Baucau,04021103,040211,0402,04
Manulai,Uailili,Baucau,04021105,040211,0402,04
Samalaculiba,Uailili,Baucau,04021106,040211,0402,04
Afacaimau,Uailili,Baucau,04021101,040211,0402,04
Ledatame,Uailili,Baucau,04021104,040211,0402,04
Uaimanuboe,Uailili,Baucau,04021107,040211,0402,04
Uaturau De Cima,Uailili,Baucau,04021110,040211,0402,04
Uaturau De Baixo,Uailili,Baucau,04021109,040211,0402,04
Uatubala,Uailili,Baucau,04021108,040211,0402,04
Uani-Uma,Caibada,Baucau,04020507,040205,0402,04
Datu-Ua,Caibada,Baucau,04020504,040205,0402,04
Raha,Vemasse,Vemasse,04050704,040507,0405,04
Lor,Vemasse,Vemasse,04050702,040507,0405,04
Caitaranau,Loilubo,Vemasse,04050201,040502,0405,04
Nunuti,Loilubo,Vemasse,04050202,040502,0405,04
Caidenulale,Ossouala,Vemasse,04050301,040503,0405,04
Uaicnassa,Ossouala,Vemasse,04050304,040503,0405,04
Uma Ana Ico,Ossouala,Vemasse,04050305,040503,0405,04
Hoineuai,Ossouala,Vemasse,04050302,040503,0405,04
Uaiharabo'o,Uato-Lari,Vemasse,04050603,040506,0405,04
Naulale,Uato-Lari,Vemasse,04050602,040506,0405,04
Betunau,Uma Ana Ico,Venilale,04060701,040607,0406,04
Nuno Doco,Uma Ana Ulo,Venilale,04060802,040608,0406,04
Venilale,Uma Ana Ulo,Venilale,04060804,040608,0406,04
Uai-Te,Uma Ana Ico,Venilale,04060703,040607,0406,04
Osso-Gui-Gui,Uma Ana Ulo,Venilale,04060803,040608,0406,04
Uatu-Nau,Uma Ana Ico,Venilale,04060704,040607,0406,04
Oqui-Lari,Afaloicai,Baguia,04010103,040101,0401,04
Lena,Afaloicai,Baguia,04010102,040101,0401,04
Uai-Mata,Afaloicai,Baguia,04010104,040101,0401,04
Sorucama,Alawa Craik,Baguia,04010204,040102,0401,04
Ne-Olidae,Alawa Craik,Baguia,04010203,040102,0401,04
Alaua,Alawa Craik,Baguia,04010202,040102,0401,04
Afaguia,Alawa Craik,Baguia,04010201,040102,0401,04
Bibilalari,Alawa Leten,Baguia,04010303,040103,0401,04
Alaua,Alawa Leten,Baguia,04010302,040103,0401,04
Selibere,Alawa Leten,Baguia,04010305,040103,0401,04
Ae-Afa,Alawa Leten,Baguia,04010301,040103,0401,04
Defawasi,Defawasi,Baguia,04010401,040104,0401,04
Sae-Meta,Defawasi,Baguia,04010403,040104,0401,04
Uarou,Defawasi,Baguia,04010404,040104,0401,04
Bahatata,Hae Coni,Baguia,04010502,040105,0401,04
Larisula,Hae Coni,Baguia,04010504,040105,0401,04
Larigua,Hae Coni,Baguia,04010505,040105,0401,04
Uaiboro,Hae Coni,Baguia,04010506,040105,0401,04
Afalari,Hae Coni,Baguia,04010501,040105,0401,04
Basarauai,Hae Coni,Baguia,04010503,040105,0401,04
Uro,Larisula,Baguia,04010607,040106,0401,04
Baiana,Larisula,Baguia,04010601,040106,0401,04
Bibidae,Larisula,Baguia,04010602,040106,0401,04
Lauhare,Larisula,Baguia,04010604,040106,0401,04
Bubuha,Larisula,Baguia,04010603,040106,0401,04
Uata-Tefo,Larisula,Baguia,04010606,040106,0401,04
Ledana,Lavateri,Baguia,04010702,040107,0401,04
Fanalolo,Lavateri,Baguia,04010701,040107,0401,04
Uabubo,Lavateri,Baguia,04010705,040107,0401,04
Osso Issi Lari,Lavateri,Baguia,04010704,040107,0401,04
Uaibuitai,Osso Huna,Baguia,04010802,040108,0401,04
Uaicadae,Osso Huna,Baguia,04010803,040108,0401,04
Iraosso,Samalari,Baguia,04010903,040109,0401,04
Taubere,Samalari,Baguia,04010904,040109,0401,04
Daraloi Leten,Samalari,Baguia,04010901,040109,0401,04
Baboro,Uacala,Baguia,04011001,040110,0401,04
Betu-Muto,Uacala,Baguia,04011003,040110,0401,04
Uacala,Uacala,Baguia,04011004,040110,0401,04
Lari,Uaigae,Vemasse,04050501,040505,0405,04
Haunau,Ostico,Vemasse,04050402,040504,0405,04
Bahamori,Ostico,Vemasse,04050401,040504,0405,04
Luha Oli,Uailaha,Venilale,04060504,040605,0406,04
Caihurulale de Cima,Uailaha,Venilale,04060502,040605,0406,04
Uatu-Uasa,Uatu Haco,Venilale,04060604,040606,0406,04
Lia Bala,Uatu Haco,Venilale,04060601,040606,0406,04
Uai-Talibu,Uatu Haco,Venilale,04060603,040606,0406,04
Ossogori,Uatu Haco,Venilale,04060602,040606,0406,04
Caicasalari,Tequinomata,Laga,04030802,040308,0403,04
Samaguia,Tequinomata,Laga,04030804,040308,0403,04
Buscaulari,Nunira,Laga,04030302,040303,0403,04
Borulau,Nunira,Laga,04030301,040303,0403,04
Loilaco,Nunira,Laga,04030304,040303,0403,04
Larino,Libagua,Laga,04030203,040302,0403,04
Libagua,Libagua,Laga,04030204,040302,0403,04
Larimuta,Libagua,Laga,04030202,040302,0403,04
Tirilolo,Libagua,Laga,04030205,040302,0403,04
Buibata,Libagua,Laga,04030201,040302,0403,04
Assa-Nuno,Soba,Laga,04030701,040307,0403,04
Fatiliri,Soba,Laga,04030704,040307,0403,04
Liacua,Soba,Laga,04030706,040307,0403,04
Sae Uata Issi,Samalari,Laga,04030604,040306,0403,04
Butufali,Soba,Laga,04030703,040307,0403,04
Heu-Uai,Soba,Laga,04030705,040307,0403,04
Lalulai,Nunira,Laga,04030303,040303,0403,04
Lalu Uai,Samalari,Laga,04030602,040306,0403,04
Samalari,Samalari,Laga,04030605,040306,0403,04
Ueru Mata,Samalari,Laga,04030607,040306,0403,04
Lualari,Samalari,Laga,04030603,040306,0403,04
Lari Tau,Saelari,Laga,04030404,040304,0403,04
Riadae,Saelari,Laga,04030406,040304,0403,04
Lari Sula,Saelari,Laga,04030403,040304,0403,04
Samalalo,Saelari,Laga,04030408,040304,0403,04
Saelari,Saelari,Laga,04030407,040304,0403,04
Lau Hare,Saelari,Laga,04030405,040304,0403,04
Terubala,Saelari,Laga,04030409,040304,0403,04
Bubuloma,Saelari,Laga,04030401,040304,0403,04
Sire-Bu'u,Sagadate,Laga,04030510,040305,0403,04
Abuti,Sagadate,Laga,04030501,040305,0403,04
Auraba,Sagadate,Laga,04030503,040305,0403,04
Naha-Afa,Sagadate,Laga,04030506,040305,0403,04
Ulabuti,Sagadate,Laga,04030511,040305,0403,04
Beliuali,Sagadate,Laga,04030504,040305,0403,04
Ia Sula,Sagadate,Laga,04030505,040305,0403,04
Samagata,Sagadate,Laga,04030508,040305,0403,04
One-Bu'o,Sagadate,Laga,04030507,040305,0403,04
Selegua,Sagadate,Laga,04030509,040305,0403,04
Sirimana,Atelari,Laga,04030109,040301,0403,04
Atelari,Atelari,Laga,04030101,040301,0403,04
Nelu Uai,Atelari,Laga,04030106,040301,0403,04
Liarafa,Atelari,Laga,04030104,040301,0403,04
Seguilaba,Atelari,Laga,04030108,040301,0403,04
Uatafolo,Atelari,Laga,04030110,040301,0403,04
Loilari,Atelari,Laga,04030105,040301,0403,04
Laudae,Atelari,Laga,04030103,040301,0403,04
Auraba,Atelari,Laga,04030102,040301,0403,04
Ita-Daho,Tequinomata,Laga,04030803,040308,0403,04
Bocilai,Macalaco,Quelicai,04041201,040412,0404,04
Defadae,Macalaco,Quelicai,04041202,040412,0404,04
Caranu,Abafala,Quelicai,04040102,040401,0404,04
Osso-Messa,Bualale,Quelicai,04040502,040405,0404,04
Butileo,Baguia,Quelicai,04040401,040404,0404,04
Saraida,Baguia,Quelicai,04040403,040404,0404,04
Uligata,Afaçà,Quelicai,04040302,040403,0404,04
Vecubuti,Afaçà,Quelicai,04040303,040403,0404,04
Mumana,Abafala,Quelicai,04040103,040401,0404,04
Telaha,Abafala,Quelicai,04040104,040401,0404,04
Assa-Loqui,Abafala,Quelicai,04040101,040401,0404,04
Cirilaco,Namanei,Quelicai,04041401,040414,0404,04
Loirae,Namanei,Quelicai,04041403,040414,0404,04
Daicou,Namanei,Quelicai,04041402,040414,0404,04
Laculela,Guruçà,Quelicai,04040603,040406,0404,04
Eu-Afa,Guruçà,Quelicai,04040601,040406,0404,04
Saebere,Guruçà,Quelicai,04040604,040406,0404,04
Fae-Ua,Guruçà,Quelicai,04040602,040406,0404,04
Gamana,Uaitame,Quelicai,04041502,040415,0404,04
Gugulai,Uaitame,Quelicai,04041503,040415,0404,04
Sialimo,Uaitame,Quelicai,04041504,040415,0404,04
Uaule,Lacoliu,Quelicai,04040703,040407,0404,04
Lacodala,Lacoliu,Quelicai,04040701,040407,0404,04
Mucububo,Lacoliu,Quelicai,04040702,040407,0404,04
Lau-Mana,Letemumo,Quelicai,04041101,040411,0404,04
Lebenei,Letemumo,Quelicai,04041102,040411,0404,04
Ruta,Letemumo,Quelicai,04041104,040411,0404,04
Uaidora,Letemumo,Quelicai,04041105,040411,0404,04
Manome,Letemumo,Quelicai,04041103,040411,0404,04
Abo-Da'e-Mena,Abo,Quelicai,04040202,040402,0404,04
Ua-Roro,Maluro,Quelicai,04041304,040413,0404,04
Loilubo-Uagua,Maluro,Quelicai,04041301,040413,0404,04
Namanei,Maluro,Quelicai,04041302,040413,0404,04
Ossoliro,Lelalai,Quelicai,04041004,040410,0404,04
Maluro,Lelalai,Quelicai,04041003,040410,0404,04
Lego,Laisorolai De Baixo,Quelicai,04040802,040408,0404,04
Dara-Oma,Laisorolai De Baixo,Quelicai,04040801,040408,0404,04
Ulu-Soro,Laisorolai De Baixo,Quelicai,04040804,040408,0404,04
Baticassa,Laisorolai De Cima,Quelicai,04040901,040409,0404,04
Uaidaba,Laisorolai De Cima,Quelicai,04040902,040409,0404,04
Uata-Liu,Laisorolai De Cima,Quelicai,04040903,040409,0404,04
Lialura,Bualale,Quelicai,04040501,040405,0404,04
Abo-Matebian,Abo,Quelicai,04040204,040402,0404,04
Abo Cairedo,Abo,Quelicai,04040201,040402,0404,04
Oralan,Vemasse,Vemasse,04050703,040507,0405,04
Bahamori,Caicua,Vemasse,04050101,040501,0405,04
Uatulia-Ana,Fatulia,Venilale,04060304,040603,0406,04
Bahadato,Fatulia,Venilale,04060301,040603,0406,04
Uai-To-Bono,Fatulia,Venilale,04060303,040603,0406,04
Caubau,Uailaha,Venilale,04060503,040605,0406,04
Aca Uatu,Uai Oli,Venilale,04060401,040604,0406,04
Uatu Missa,Uai Oli,Venilale,04060404,040604,0406,04
Uai-Ae/Ualae,Uai Oli,Venilale,04060403,040604,0406,04
Uaicana,Bado-Ho'o,Venilale,04060102,040601,0406,04
Uaibobo,Bado-Ho'o,Venilale,04060101,040601,0406,04
Uma Ana Ico,Bado-Ho'o,Venilale,04060105,040601,0406,04
Cai-Ae-Tula/Uataula,Bado-Ho'o,Venilale,04060103,040601,0406,04
Uato-Bela Oli,Bado-Ho'o,Venilale,04060104,040601,0406,04
Betulale,Vemasse,Vemasse,04050701,040507,0405,04
Lereloho,Fuiloro,Lospalos,09030307,090303,0903,09
Titilari,Fuiloro,Lospalos,09030311,090303,0903,09
30 de Agostu,Fuiloro,Lospalos,09030301,090303,0903,09
Nakroman,Fuiloro,Lospalos,09030309,090303,0903,09
Ira'ara,Fuiloro,Lospalos,09030305,090303,0903,09
Central,Fuiloro,Lospalos,09030304,090303,0903,09
Kuluhum,Fuiloro,Lospalos,09030306,090303,0903,09
Lospala,Fuiloro,Lospalos,09030308,090303,0903,09
Assalaino,Fuiloro,Lospalos,09030302,090303,0903,09
Pehefito,Muapitine,Lospalos,09030604,090306,0903,09
Vailoro,Muapitine,Lospalos,09030605,090306,0903,09
Lopuloho,Muapitine,Lospalos,09030601,090306,0903,09
Muapitine,Muapitine,Lospalos,09030603,090306,0903,09
Raça,Raça,Lospalos,09030702,090307,0903,09
Tchailoro,Raça,Lospalos,09030703,090307,0903,09
Tchauluturo,Fuiloro,Lospalos,09030310,090303,0903,09
Haitupuca,Lore 2,Lore,09050701,090507,0905,09
Nuhalata,Lore 2,Lore,09050703,090507,0905,09
Chaivatcha,Souro,Lospalos,09030807,090308,0903,09
Nairete,Souro,Lospalos,09030803,090308,0903,09
Foema'a,Souro,Lospalos,09030801,090308,0903,09
Nancuro,Souro,Lospalos,09030804,090308,0903,09
Louro,Souro,Lospalos,09030802,090308,0903,09
Soro-Lua,Souro,Lospalos,09030806,090308,0903,09
Soro Moco,Leuro,Lospalos,09030503,090305,0903,09
Luturula,Leuro,Lospalos,09030502,090305,0903,09
Leuro,Leuro,Lospalos,09030501,090305,0903,09
Paihira,Cacavei,Lospalos,09030202,090302,0903,09
Tcharano,Cacavei,Lospalos,09030204,090302,0903,09
Solepara,Cacavei,Lospalos,09030203,090302,0903,09
Luarai,Bauro,Lospalos,09030105,090301,0903,09
Bauro,Bauro,Lospalos,09030101,090301,0903,09
Iralafai,Bauro,Lospalos,09030102,090301,0903,09
Somotcho,Bauro,Lospalos,09030104,090301,0903,09
Titilari,Lore 1,Lore,09050605,090506,0905,09
Tchai,Lore 1,Lore,09050604,090506,0905,09
Otcho-Tchau,Lore 1,Lore,09050603,090506,0905,09
Maluru,Lore 1,Lore,09050602,090506,0905,09
Vailana,Lore 1,Lore,09050606,090506,0905,09
Lilapuhu,Home,Lospalos,09030402,090304,0903,09
Reisoru,Home,Lospalos,09030403,090304,0903,09
Larinatcha,Home,Lospalos,09030401,090304,0903,09
Titilari,Ililai,Lautém,09020502,090205,0902,09
Barliu,Euquisi,Lautém,09020401,090204,0902,09
Vanaria,Euquisi,Lautém,09020403,090204,0902,09
Porlamano,Mehara,Tutuala,09060102,090601,0906,09
Poros,Mehara,Tutuala,09060103,090601,0906,09
Poruvari,Serelau,Lautém,09021002,090210,0902,09
Ra'Ano,Serelau,Lautém,09021003,090210,0902,09
Ioro,Tutuala,Tutuala,09060201,090602,0906,09
Vero,Tutuala,Tutuala,09060204,090602,0906,09
Iparira,Parlamento,Lautém,09020901,090209,0902,09
Ira'Ara,Parlamento,Lautém,09020902,090209,0902,09
Laiara,Parlamento,Lautém,09020903,090209,0902,09
Soiquili,Parlamento,Lautém,09020905,090209,0902,09
Lahomato,Com,Lautém,09020203,090202,0902,09
Ira'Ono,Com,Lautém,09020202,090202,0902,09
Muapusso,Com,Lautém,09020204,090202,0902,09
Pitileti,Com,Lautém,09020205,090202,0902,09
Vailovaia,Com,Lautém,09020206,090202,0902,09
Tamaro,Baduro,Lautém,09020105,090201,0902,09
Luadau,Baduro,Lautém,09020103,090201,0902,09
Irapala,Baduro,Lautém,09020101,090201,0902,09
Laculomano,Baduro,Lautém,09020102,090201,0902,09
Soleresi,Maina 1,Lautém,09020605,090206,0902,09
Uanambere,Daudere,Lautém,09020307,090203,0902,09
Macalodo,Daudere,Lautém,09020303,090203,0902,09
Vassatoi,Daudere,Lautém,09020308,090203,0902,09
Anarua,Daudere,Lautém,09020302,090203,0902,09
Sagueli,Daudere,Lautém,09020305,090203,0902,09
Samaira,Daudere,Lautém,09020306,090203,0902,09
Aelafa,Daudere,Lautém,09020301,090203,0902,09
Caporo,Pairara,Lautém,09020801,090208,0902,09
Levono,Pairara,Lautém,09020803,090208,0902,09
Puno,Pairara,Lautém,09020804,090208,0902,09
Oirata,Maina 2,Lautém,09020704,090207,0902,09
Queduloro,Maina 2,Lautém,09020705,090207,0902,09
Codo,Maina 2,Lautém,09020701,090207,0902,09
Lereira,Maina 2,Lautém,09020703,090207,0902,09
Narunteino,Maina 1,Lautém,09020603,090206,0902,09
Paiahara,Maina 1,Lautém,09020604,090206,0902,09
Mauvedara,Maina 1,Lautém,09020602,090206,0902,09
Maina 1,Maina 1,Lautém,09020601,090206,0902,09
Tchailoro,Tutuala,Tutuala,09060203,090602,0906,09
Derulo,Builo,Ossu,14020203,140202,1402,14
Uai-Bobo,Ossorua,Ossu,14020605,140206,1402,14
Wai-Heda,Loi-Huno,Ossu,14020404,140204,1402,14
Wala Wau,Loi-Huno,Ossu,14020405,140204,1402,14
Buanurac,Uabubo,Ossu,14020801,140208,1402,14
Osso-Uaque,Fatulia,Venilale,04060302,040603,0406,04
Heni Huta,Builale,Ossu,14020104,140201,1402,14
Cai Tara Hu,Builale,Ossu,14020103,140201,1402,14
Cai Leti Ana,Builale,Ossu,14020102,140201,1402,14
Liaro,Builale,Ossu,14020105,140201,1402,14
Bate Cai Ana,Builale,Ossu,14020101,140201,1402,14
Dauborobaha,Uabubo,Ossu,14020802,140208,1402,14
Cai Uai Hoo,Ossu De Cima,Ossu,14020704,140207,1402,14
Uma Ana Ico,Ossu De Cima,Ossu,14020708,140207,1402,14
Uairio,Ossu De Cima,Ossu,14020707,140207,1402,14
Liamida,Ossu De Cima,Ossu,14020705,140207,1402,14
Lugabuti,Ossu De Cima,Ossu,14020706,140207,1402,14
Samaliu,Loi-Huno,Ossu,14020403,140204,1402,14
Cai Latu Lale,Loi-Huno,Ossu,14020401,140204,1402,14
Lia Uai Oli,Loi-Huno,Ossu,14020402,140204,1402,14
Ossogori,Uabubo,Ossu,14020805,140208,1402,14
Uatu-Lawa,Ossorua,Ossu,14020606,140206,1402,14
Sama-Lari,Ossorua,Ossu,14020604,140206,1402,14
Laisorule,Ossorua,Ossu,14020602,140206,1402,14
Fatudere,Ossorua,Ossu,14020601,140206,1402,14
Umabere,Ossorua,Ossu,14020607,140206,1402,14
Belas,Ossu De Cima,Ossu,14020702,140207,1402,14
Borala,Ossu De Cima,Ossu,14020703,140207,1402,14
Baca-Isi,Ossu De Cima,Ossu,14020701,140207,1402,14
Buareca,Builo,Ossu,14020201,140202,1402,14
Builo,Builo,Ossu,14020202,140202,1402,14
Lutuguia,Builo,Ossu,14020204,140202,1402,14
Umatamene,Ossorua,Ossu,14020608,140206,1402,14
Leque-Buti,Uabubo,Ossu,14020804,140208,1402,14
Laritame,Uabubo,Ossu,14020803,140208,1402,14
Wai-Lia,Uabubo,Ossu,14020806,140208,1402,14
Baha-Neo,Liaruca,Ossu,14020301,140203,1402,14
Liacuda,Liaruca,Ossu,14020303,140203,1402,14
Selele,Liaruca,Ossu,14020305,140203,1402,14
Liaruca,Liaruca,Ossu,14020304,140203,1402,14
Samarog,Nahareca,Ossu,14020505,140205,1402,14
Raila A,Nahareca,Ossu,14020504,140205,1402,14
Maurate,Nahareca,Ossu,14020503,140205,1402,14
Darenau,Nahareca,Ossu,14020501,140205,1402,14
Uaitau,Uaibobo,Ossu,14021006,140210,1402,14
Samaliurai,Uaibobo,Ossu,14021004,140210,1402,14
Darenau,Uaibobo,Ossu,14021001,140210,1402,14
Macabu U,Nahareca,Ossu,14020502,140205,1402,14
Leo,Uaibobo,Ossu,14021002,140210,1402,14
Sogau,Uaibobo,Ossu,14021005,140210,1402,14
Uanise,Uaibobo,Ossu,14021007,140210,1402,14
Mundailo,Uaibobo,Ossu,14021003,140210,1402,14
Dasarai,Uaguia,Ossu,14020901,140209,1402,14
Dolibuti,Uaguia,Ossu,14020902,140209,1402,14
Manulari,Uaguia,Ossu,14020904,140209,1402,14
Uatumanutuco,Uaguia,Ossu,14020906,140209,1402,14
Uaitutumata,Uaguia,Ossu,14020905,140209,1402,14
Luhabere,Uaguia,Ossu,14020903,140209,1402,14
Liacaiua,Makadique,Uato-Lari,14030314,140303,1403,14
Daralari,Makadique,Uato-Lari,14030309,140303,1403,14
Namanei,Makadique,Uato-Lari,14030319,140303,1403,14
Caidaulata,Makadique,Uato-Lari,14030306,140303,1403,14
Bobolaco,Makadique,Uato-Lari,14030302,140303,1403,14
Macadique,Makadique,Uato-Lari,14030317,140303,1403,14
Edemumo,Makadique,Uato-Lari,14030311,140303,1403,14
Ossolari,Makadique,Uato-Lari,14030320,140303,1403,14
Lacarate,Makadique,Uato-Lari,14030312,140303,1403,14
Coquilaco,Makadique,Uato-Lari,14030308,140303,1403,14
Comiuro,Makadique,Uato-Lari,14030307,140303,1403,14
Lau-Uma,Makadique,Uato-Lari,14030313,140303,1403,14
Lutuguia,Makadique,Uato-Lari,14030316,140303,1403,14
Buca Dalan-Inaboba,Matahoi,Uato-Lari,14030402,140304,1403,14
Uasufa,Matahoi,Uato-Lari,14030411,140304,1403,14
Aele,Matahoi,Uato-Lari,14030401,140304,1403,14
Mauseloc,Matahoi,Uato-Lari,14030408,140304,1403,14
Uani Uma,Matahoi,Uato-Lari,14030410,140304,1403,14
Tatilari,Matahoi,Uato-Lari,14030409,140304,1403,14
Daco Ate,Afaloicai,Uato-Lari,14030104,140301,1403,14
Ossocaiua,Afaloicai,Uato-Lari,14030108,140301,1403,14
Lari,Afaloicai,Uato-Lari,14030105,140301,1403,14
Caitau,Afaloicai,Uato-Lari,14030103,140301,1403,14
Uato Ita,Afaloicai,Uato-Lari,14030110,140301,1403,14
Uaicai,Afaloicai,Uato-Lari,14030109,140301,1403,14
Cailaque,Afaloicai,Uato-Lari,14030102,140301,1403,14
Lena,Afaloicai,Uato-Lari,14030106,140301,1403,14
Quetorai,Makadique,Uato-Lari,14030321,140303,1403,14
Borobai,Makadique,Uato-Lari,14030304,140303,1403,14
Loco Loco,Matahoi,Uato-Lari,14030406,140304,1403,14
Mau Ciac,Matahoi,Uato-Lari,14030407,140304,1403,14
Asa Muta,Babulo,Uato-Lari,14030203,140302,1403,14
Abadere,Babulo,Uato-Lari,14030201,140302,1403,14
Lia Sidi,Babulo,Uato-Lari,14030207,140302,1403,14
Cota Nisi,Babulo,Uato-Lari,14030205,140302,1403,14
Roma,Babulo,Uato-Lari,14030208,140302,1403,14
Daralari,Babulo,Uato-Lari,14030206,140302,1403,14
Beli,Babulo,Uato-Lari,14030204,140302,1403,14
Balabasiba,Vessoru,Uato-Lari,14030603,140306,1403,14
Mauboro,Vessoru,Uato-Lari,14030606,140306,1403,14
Culudere,Vessoru,Uato-Lari,14030604,140306,1403,14
Uani Uma,Vessoru,Uato-Lari,14030607,140306,1403,14
Baha-o,Vessoru,Uato-Lari,14030601,140306,1403,14
Bahabuga,Vessoru,Uato-Lari,14030602,140306,1403,14
Digamasi,Makadique,Uato-Lari,14030310,140303,1403,14
Mata Dalan,Makadique,Uato-Lari,14030318,140303,1403,14
Luroboro,Makadique,Uato-Lari,14030315,140303,1403,14
Dalan Los-Uanama,Matahoi,Uato-Lari,14030404,140304,1403,14
Ulusu,Matahoi,Uato-Lari,14030412,140304,1403,14
Iraler,Matahoi,Uato-Lari,14030405,140304,1403,14
Caidaualari,Makadique,Uato-Lari,14030305,140303,1403,14
Bobulita,Makadique,Uato-Lari,14030303,140303,1403,14
Betulari,Makadique,Uato-Lari,14030301,140303,1403,14
Buibela,Afaloicai,Uato-Lari,14030101,140301,1403,14
Loro Sa e,Afaloicai,Uato-Lari,14030107,140301,1403,14
Ouroma,Cotamutu,Luro,09040303,090403,0904,09
Buanomar,Cotamutu,Luro,09040301,090403,0904,09
Oneraba,Lacawa,Luro,09040403,090404,0904,09
Boruvali,Lacawa,Luro,09040402,090404,0904,09
Ussufassu,Baricafa,Luro,09040203,090402,0904,09
Afaia,Baricafa,Luro,09040201,090402,0904,09
Amahira,Luro,Luro,09040503,090405,0904,09
Abere,Luro,Luro,09040501,090405,0904,09
Vatalarino,Luro,Luro,09040505,090405,0904,09
Hailarino,Luro,Luro,09040504,090405,0904,09
Liarafa,Wairoque,Luro,09040603,090406,0904,09
Iuto,Wairoque,Luro,09040602,090406,0904,09
Soba,Wairoque,Luro,09040605,090406,0904,09
Afanami,Wairoque,Luro,09040601,090406,0904,09
Jefaliu,Afabubu,Luro,09040102,090401,0904,09
Madahira,Iliomar 2,Iliomar,09010505,090105,0901,09
Boquila,Iliomar 2,Iliomar,09010502,090105,0901,09
Lihina,Iliomar 2,Iliomar,09010504,090105,0901,09
Vatamatar,Iliomar 1,Iliomar,09010405,090104,0901,09
Acara,Iliomar 2,Iliomar,09010501,090105,0901,09
Caidabu,Iliomar 2,Iliomar,09010503,090105,0901,09
Larimi,Caenlio,Iliomar,09010202,090102,0901,09
Liufalun,Caenlio,Iliomar,09010203,090102,0901,09
Titiravein,Caenlio,Iliomar,09010205,090102,0901,09
Caidavalarin,Caenlio,Iliomar,09010201,090102,0901,09
Ossohira,Iliomar 1,Iliomar,09010404,090104,0901,09
Ara'ara,Iliomar 1,Iliomar,09010401,090104,0901,09
Caentau,Iliomar 1,Iliomar,09010402,090104,0901,09
Rumuatu,Fuat,Iliomar,09010302,090103,0901,09
Vataomar,Fuat,Iliomar,09010303,090103,0901,09
Acadirulo,Fuat,Iliomar,09010301,090103,0901,09
Marafal,Aelebere,Iliomar,09010104,090101,0901,09
Lalumato,Aelebere,Iliomar,09010102,090101,0901,09
Heitali,Aelebere,Iliomar,09010101,090101,0901,09
Tatalalarin,Tirilolo,Iliomar,09010602,090106,0901,09
Tirilolo,Tirilolo,Iliomar,09010603,090106,0901,09
Ai Suco Nuc,Uma Tolu,Lacluta,14010401,140104,1401,14
Crarec Maruc,Uma Tolu,Lacluta,14010402,140104,1401,14
Tali Oan,Uma Tolu,Lacluta,14010405,140104,1401,14
Data Metan,Uma Tolu,Lacluta,14010403,140104,1401,14
Mau Ama,Laline,Lacluta,14010303,140103,1401,14
Fatu Cado,Laline,Lacluta,14010302,140103,1401,14
Micradec,Laline,Lacluta,14010304,140103,1401,14
Santo Antonio,Laline,Lacluta,14010305,140103,1401,14
Canlor,Luca,Viqueque,14050501,140505,1405,14
Uma Lor,Luca,Viqueque,14050504,140505,1405,14
Iramer,Luca,Viqueque,14050502,140505,1405,14
Macalosso,Maluru,Viqueque,14050602,140506,1405,14
Loho Oan,Maluru,Viqueque,14050601,140506,1405,14
Hali Mean,Ahic,Lacluta,14010104,140101,1401,14
Crarec Bocu,Ahic,Lacluta,14010103,140101,1401,14
Ai Lo Oc,Ahic,Lacluta,14010101,140101,1401,14
Cai Uan,Ahic,Lacluta,14010102,140101,1401,14
Culale,Fatudere,Viqueque,14050403,140504,1405,14
Aidilalita,Fatudere,Viqueque,14050401,140504,1405,14
Mea-Uai,Uai-Mori,Viqueque,14050702,140507,1405,14
Uaibubo,Uai-Mori,Viqueque,14050703,140507,1405,14
Lulei,Uai-Mori,Viqueque,14050701,140507,1405,14
Uma Bo'o,Uai-Mori,Viqueque,14050705,140507,1405,14
Bahabunac,Uma Quic,Viqueque,14050803,140508,1405,14
Aina Uain,Uma Quic,Viqueque,14050802,140508,1405,14
Bahafou,Uma Quic,Viqueque,14050804,140508,1405,14
Aidac Ben,Uma Quic,Viqueque,14050801,140508,1405,14
Lua,Uma Quic,Viqueque,14050805,140508,1405,14
Rai Hun,Uma Quic,Viqueque,14050808,140508,1405,14
Macdean,Uma Quic,Viqueque,14050806,140508,1405,14
Wetalitua,Bahalarauain,Viqueque,14050106,140501,1405,14
Aisahe,Bahalarauain,Viqueque,14050102,140501,1405,14
Camelitur,Bahalarauain,Viqueque,14050103,140501,1405,14
Welaco,Bahalarauain,Viqueque,14050105,140501,1405,14
Acadiru Hun,Dilor,Lacluta,14010201,140102,1401,14
Aidac Laran,Dilor,Lacluta,14010202,140102,1401,14
Boruc,Dilor,Lacluta,14010203,140102,1401,14
Rade Uman,Dilor,Lacluta,14010204,140102,1401,14
Uma Liurai,Uai-Mori,Viqueque,14050706,140507,1405,14
Balideoan,Bibileo,Viqueque,14050203,140502,1405,14
Caninuc,Bahalarauain,Viqueque,14050104,140501,1405,14
Assafadae,Loi Ulo,Uatucarbau,14040501,140405,1404,14
Boro-Bohae,Uani Uma,Uatucarbau,14040602,140406,1404,14
Builacurae,Bahatata,Uatucarbau,14040201,140402,1404,14
Tatadere,Bahatata,Uatucarbau,14040203,140402,1404,14
Nelu Uai,Bahatata,Uatucarbau,14040202,140402,1404,14
Daralari,Afaloicai,Uatucarbau,14040102,140401,1404,14
