provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,050202,Batugade,Balibo,Bobonaro,40306,Batugade,403,4,Bobonaro,Balibo,4,matched,1.00,
intl2024,050101,Aidabaleten,Atabae,Bobonaro,40401,Aidabaleten,404,4,Bobonaro,Atabae,4,matched,1.00,
intl2024,050102,Atabae,Atabae,Bobonaro,40402,Atabae,404,4,Bobonaro,Atabae,4,matched,1.00,
intl2024,050104,Rairobo,Atabae,Bobonaro,40403,Rairobo,404,4,Bobonaro,Atabae,4,matched,1.00,
intl2024,050103,Hataz,Atabae,Bobonaro,40404,Hataz,404,4,Bobonaro,Atabae,4,matched,1.00,
intl2024,050507,Opa,Lolotoe,Bobonaro,40501,Opa,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050506,Lupal,Lolotoe,Bobonaro,40502,Lupal,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050503,Guda,Lolotoe,Bobonaro,40503,Guda,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050501,Deudet,Lolotoe,Bobonaro,40504,Deudet,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050504,Lebos,Lolotoe,Bobonaro,40505,Lebos,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050505,Lontas,Lolotoe,Bobonaro,40506,Lontas,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050502,Gildapil,Lolotoe,Bobonaro,40507,Gildapil,405,4,Bobonaro,Lolotoe,4,matched,1.00,
intl2024,050301,Ai-Assa,Bobonaro,Bobonaro,40601,Ai-Assa,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050302,Atu-Aben,Bobonaro,Bobonaro,40602,Atu-Aben,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050303,Bobonaro,Bobonaro,Bobonaro,40603,Bobonaro,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050304,Carabau,Bobonaro,Bobonaro,40604,Carabau,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050305,Colimau,Bobonaro,Bobonaro,40605,Colimau,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050306,Cota Bo'ot,Bobonaro,Bobonaro,40606,Cotabot,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050310,Lourba,Bobonaro,Bobonaro,40607,Lourba,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050309,Lour,Bobonaro,Bobonaro,40608,Lour,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050308,Leber,Bobonaro,Bobonaro,40609,Leber,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050312,Malilait,Bobonaro,Bobonaro,40610,Malilait,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050313,Molop,Bobonaro,Bobonaro,40611,Molop,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050311,Maliubu,Bobonaro,Bobonaro,40612,Male-Ubu,406,4,Bobonaro,Bobonaro,4,matched,0.86,
intl2024,050314,Oeleo,Bobonaro,Bobonaro,40613,Oe-leu,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050316,Soileco,Bobonaro,Bobonaro,40614,Soilesu,406,4,Bobonaro,Bobonaro,4,matched,0.86,
intl2024,050315,Sibuni,Bobonaro,Bobonaro,40615,Sibuni,406,4,Bobonaro,Bobonaro,4,matched,1.00,
